size,run,sec_size,num_gates,process_time,initial_rss,final_rss
60,4,3,1221,0.015625,124059648,124059648
60,5,3,1222,0.03125,124616704,124616704
61,1,3,1264,0.03125,123772928,123838464
61,2,3,1244,0.015625,124116992,124116992
61,3,3,1281,0.015625,124645376,124653568
61,4,3,1264,0.03125,123924480,123990016
61,5,3,1248,0.015625,124395520,124395520
62,1,3,1288,0.03125,124829696,124829696
62,2,3,1307,0.03125,124116992,124116992
62,3,3,1308,0.03125,124571648,124571648
62,4,3,1292,0.03125,124571648,124571648
62,5,3,1267,0.03125,124067840,124076032
63,1,3,1343,0.03125,123600896,123600896
63,2,3,1322,0.03125,123990016,123990016
63,3,3,1313,0.03125,124514304,124514304
63,4,3,1324,0.03125,123596800,123596800
63,5,3,1338,0.03125,123990016,123990016
64,1,3,1402,0.03125,124289024,124289024
64,2,3,1378,0.03125,124911616,124911616
64,3,3,1383,0.03125,125452288,125452288
64,4,3,1401,0.046875,123944960,123969536
64,5,3,1350,0.03125,124116992,124116992
65,1,3,1407,0.015625,125304832,125304832
65,2,3,1427,0.03125,124690432,124690432
65,3,3,1434,0.046875,125079552,125079552
65,4,3,1396,0.03125,124407808,124407808
65,5,3,1426,0.03125,124833792,124833792
66,1,3,1452,0.046875,125353984,125353984
66,2,3,1468,0.046875,126013440,126013440
66,3,3,1454,0.03125,126275584,126275584
66,4,3,1442,0.03125,125071360,125071360
66,5,3,1485,0.03125,125464576,125464576
67,1,3,1508,0.03125,125861888,125861888
67,2,3,1497,0.03125,124944384,124944384
67,3,3,1487,0.03125,125075456,125075456
67,4,3,1503,0.03125,124026880,124026880
67,5,3,1509,0.046875,124899328,124899328
68,1,3,1521,0.03125,124694528,124694528
68,2,3,1540,0.03125,125145088,125145088
68,3,3,1538,0.046875,124751872,124751872
68,4,3,1548,0.046875,125190144,125190144
68,5,3,1569,0.03125,125894656,125894656
69,1,3,1580,0.046875,125042688,125046784
69,2,3,1595,0.046875,125480960,125480960
69,3,3,1587,0.03125,125091840,125095936
69,4,3,1610,0.046875,125489152,125489152
69,5,3,1578,0.03125,125235200,125300736
70,1,3,1609,0.046875,124903424,124903424
70,2,3,1604,0.03125,124866560,124866560
70,3,3,1638,0.03125,125190144,125194240
70,4,3,1629,0.03125,126103552,126173184
70,5,3,1629,0.03125,126521344,126521344
71,1,3,1650,0.03125,127176704,127176704
71,2,3,1677,0.03125,125206528,125206528
71,3,3,1682,0.03125,125603840,125603840
71,4,3,1647,0.046875,125214720,125214720
71,5,3,1685,0.03125,125607936,125607936
72,1,3,1740,0.046875,125145088,125149184
72,2,3,1734,0.046875,125542400,125542400
72,3,3,1726,0.03125,124608512,124739584
72,4,3,1731,0.046875,125386752,125386752
72,5,3,1708,0.03125,125186048,125186048
73,1,3,1732,0.03125,125583360,125620224
73,2,3,1756,0.046875,126156800,126222336
73,3,3,1779,0.046875,126812160,126812160
73,4,3,1757,0.03125,127336448,127336448
73,5,3,1767,0.046875,125825024,125825024
74,1,3,1803,0.046875,126414848,126414848
74,2,3,1807,0.046875,125497344,125501440
74,3,3,1791,0.046875,125898752,125898752
74,4,3,1795,0.046875,125501440,125501440
74,5,3,1789,0.046875,124854272,124854272
75,1,3,1853,0.046875,125009920,125009920
75,2,3,1855,0.046875,125329408,125333504
75,3,3,1841,0.046875,125087744,125087744
75,4,3,1848,0.046875,125161472,125161472
